采集时间,路线,站点名,站点ID,方向,班次序号,预计到达时间(ETA),目的地,数据生成时间
2026-04-20 00:22:38,10,堅尼地城,7959F14FBCC06B74,,,,,
2026-04-20 00:22:38,10,北角碼頭,001262,,,,,
2026-04-20 00:22:38,10,中環街市,001028,,,,,
2026-04-20 00:22:38,10,中環港澳碼頭,001016,,,,,
2026-04-20 00:22:38,619,順利邨,002103,,,,,
2026-04-20 00:22:38,619,紅磡海底隧道,001537,,,,,
2026-04-20 00:22:38,969,天水圍市中心,001990,,,,,
2026-04-20 00:22:38,969,銅鑼灣摩頓台,002445,,,,,
2026-04-20 00:22:38,969,大欖隧道轉車站,002266,,,,,
